TAX TYPE,RATE,STATUTE
ECONOMIC DEVELOPMENT SALES TAX (CERTAIN CITIES/COUNTIES),"COUNTY-1/2%, CITY - 1%",67.1300
ECONOMIC DEVELOPMENT SALES TAX (CERTAIN CITIES/COUNTIES),UP TO 1/2%,67.1303
COUNTY WATER QUALITY SALES TAX,UP TO 1 1/2%,67.1922-67.1940
COUNTY EXHIBITION & RECREATION FACILITY DISTRICT,UP TO 1/4%,67.2000
PULASKI CO SHELTER FOR WOMEN & CHILDREN SALES TAX (EXPIRES 3 YRS AFTER EFF DATE),1/8%,67.2040
THEATRE, CULTURAL ART, ENTERTAINMENT DISTRICT SALES TAX,UP TO 1/2%,67.2500-67.2530
PARKS, TRAILS AND GREENWAY DISTRICT TAX,1/10%,67.5012
KANSAS/MISOURI REGIONAL INVESTMENT DISTRICT (CLAY, PLATTE, JACKSON, CASS, RAY, BUCHANAN),UP TO 1 1/2%,70.515-70.545
INDEPENDENCE POLICE SERVICE SALES TAX,"Increments of 1/8% up to 1%",82.875
STORM WATER (CITIES WITH POPULATION OF MORE THAN 100,000),1/10%,94.413
KANSAS CITY PUBLIC SAFETY, INCLUDING CAPITAL IMPROVEMENTS,"1/8, 1/4, 3/8, 1/2%",94.577.10
SPRINGFIELD COMMUNITY IMPROVEMENT SALES TAX,"1/8, 1/4, 3/8, 1/2%",94.578
COLUMBIA PUBLIC SAFETY CAPITAL IMPROVEMENTS SALES TAX,UP TO 1%,94.581
JOPLIN HISTORICAL LOCATIONS & MUSEUM SALES TAX,UP TO 1/2%,94.950
ST LOUIS MEDICAL INDIGENCE SALES TAX,"1/8, 1/4, 3/8, 1/2, 5.8, 3/4, 7.8/, 1%",94.1000
ST CHARLES COUNTY TRANSIT AUTHORITY SALES TAX,UP TO 1%,238.410
WASTE WATER & SOIL POLLUTION ABATEMENT,UP TO 1/4%,644.034
LOCAL OPTION USE TAX 144.757.2(1) Cities & Counties 144.757.2(2)(a); St Louis Co 144.757.2(2)(b); St Louis Co 144.757.2(3) St Louis City,"",144.757-144.761
LOCAL OPTION USE TAX FOR DISTRICTS,"",67.1545
